,,,"Canada [Country]",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,35151728,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,33476688,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      5.0,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,15412443,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,14072079,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",,    3.9,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,8965588.85,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,35151730,,17264200,,17887530,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",, 5839565,, 2992920,, 2846645,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",, 1898790,,  973030,,  925760,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",, 2018130,, 1034685,,  983445,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",, 1922645,,  985200,,  937445,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,23376530,,11576130,,11800400,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",, 2026160,, 1039215,,  986940,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",, 2242690,, 1144495,, 1098200,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",, 2285990,, 1144470,, 1141515,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",, 2329395,, 1148290,, 1181110,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",, 2288365,, 1118635,, 1169730,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",, 2255135,, 1104440,, 1150695,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",, 2359965,, 1157760,, 1202210,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",, 2678075,, 1318755,, 1359320,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",, 2620240,, 1285190,, 1335055,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",, 2290510,, 1114885,, 1175630,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",, 5935630,, 2695150,, 3240485,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",, 1972480,,  953075,, 1019405,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",, 1420875,,  677975,,  742900,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",, 1021850,,  469550,,  552300,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,  749650,,  325765,,  423880,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,  770780,,  268790,,  501990,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,  482525,,  185535,,  296990,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,  223510,,   68675,,  154835,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,   56525,,   13240,,   43280,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,    8230,,    1340,,    6890,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   16.6,,   17.3,,   15.9,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   66.5,,   67.1,,   66.0,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   16.9,,   15.6,,   18.1,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.2,,    1.6,,    2.8,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   41.0,,   40.1,,   41.9,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   41.2,,   40.2,,   42.2,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,14072080,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",, 7541495,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",, 1391040,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6, 4949795,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,  698800,,,...,,...,  289975,,,...,,...
