,,,"Parkdale--High Park [Federal electoral district], Ontario",,,,,,"Ontario [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1,  108805,,,...,,...,13448494,,,...,,...
"Population and dwellings","Population; 2011",1,  105103,,,...,,...,12851821,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      3.5,,,...,,...,      4.6,,,...,,...
"Population and dwellings","Total private dwellings",2,   52997,,,...,,..., 5598391,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,   50291,,,...,,..., 5169174,,,...,,...
"Population and dwellings","Population density per square kilometre",, 7360.2,,,...,,...,   14.8,,,...,,...
"Population and dwellings","Land area in square kilometres",,     14.78,,,...,,..., 908699.33,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4,  108805,,   52280,,   56525,,13448495,, 6559390,, 6889105,
"Age characteristics","  0 to 14 years",,   15995,,    8180,,    7815,, 2207970,, 1131615,, 1076350,
"Age characteristics","    0 to 4 years",,    5770,,    2985,,    2785,,  697360,,  357300,,  340055,
"Age characteristics","    5 to 9 years",,    5540,,    2820,,    2725,,  756085,,  387320,,  368765,
"Age characteristics","    10 to 14 years",,    4685,,    2380,,    2305,,  754530,,  387000,,  367530,
"Age characteristics","  15 to 64 years",,   78275,,   37970,,   40305,, 8988865,, 4412115,, 4576750,
"Age characteristics","    15 to 19 years",,    4450,,    2250,,    2200,,  811670,,  416730,,  394945,
"Age characteristics","    20 to 24 years",,    5595,,    2590,,    3005,,  894390,,  457815,,  436570,
"Age characteristics","    25 to 29 years",,    9855,,    4520,,    5340,,  874350,,  436345,,  438010,
"Age characteristics","    30 to 34 years",,   11065,,    5275,,    5790,,  864765,,  420800,,  443965,
"Age characteristics","    35 to 39 years",,    9675,,    4695,,    4975,,  842485,,  402900,,  439585,
"Age characteristics","    40 to 44 years",,    8635,,    4225,,    4410,,  871875,,  418465,,  453415,
"Age characteristics","    45 to 49 years",,    8205,,    4110,,    4090,,  937385,,  453105,,  484275,
"Age characteristics","    50 to 54 years",,    7860,,    3930,,    3930,, 1056345,,  517170,,  539175,
"Age characteristics","    55 to 59 years",,    6990,,    3470,,    3525,,  989460,,  482280,,  507180,
"Age characteristics","    60 to 64 years",,    5940,,    2915,,    3030,,  846145,,  406505,,  439640,
"Age characteristics","  65 years and over",,   14535,,    6130,,    8405,, 2251655,, 1015655,, 1236000,
"Age characteristics","    65 to 69 years",,    4960,,    2340,,    2620,,  737745,,  352475,,  385270,
"Age characteristics","    70 to 74 years",,    3210,,    1470,,    1740,,  528645,,  250455,,  278185,
"Age characteristics","    75 to 79 years",,    2305,,     940,,    1365,,  393010,,  179810,,  213195,
"Age characteristics","    80 to 84 years",,    1755,,     670,,    1080,,  291185,,  126825,,  164360,
"Age characteristics","    85 years and over",,    2305,,     710,,    1600,,  301075,,  106090,,  194985,
"Age characteristics","      85 to 89 years",,    1315,,     435,,     880,,  188470,,   73045,,  115425,
"Age characteristics","      90 to 94 years",,     785,,     220,,     565,,   88390,,   27400,,   60990,
"Age characteristics","      95 to 99 years",,     185,,      50,,     135,,   21210,,    5150,,   16060,
"Age characteristics","      100 years and over",,      20,,       5,,      20,,    3005,,     495,,    2520,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   14.7,,   15.6,,   13.8,,   16.4,,   17.3,,   15.6,
"Age characteristics","  15 to 64 years",,   71.9,,   72.6,,   71.3,,   66.8,,   67.3,,   66.4,
"Age characteristics","  65 years and over",,   13.4,,   11.7,,   14.9,,   16.7,,   15.5,,   17.9,
"Age characteristics","    85 years and over",,    2.1,,    1.4,,    2.8,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   40.0,,   39.1,,   40.8,,   41.0,,   40.0,,   41.9,
"Age characteristics","Median age of the population",,   38.8,,   38.5,,   39.0,,   41.3,,   40.2,,   42.4,
"Household and dwelling characteristics","Total - Occupied private dwellings by structural type of dwelling - 100% data",5,   50295,,,...,,..., 5169175,,,...,,...
"Household and dwelling characteristics","  Single-detached house",,    8835,,,...,,..., 2807380,,,...,,...
"Household and dwelling characteristics","  Apartment in a building that has five or more storeys",,   19355,,,...,,...,  886705,,,...,,...
"Household and dwelling characteristics","  Other attached dwelling",6,   22080,,,...,,..., 1460200,,,...,,...
"Household and dwelling characteristics","    Semi-detached house",,    4070,,,...,,...,  289975,,,...,,...
"Household and dwelling characteristics","    Row house",,    1360,,,...,,...,  460425,,,...,,...
"Household and dwelling characteristics","    Apartment or flat in a duplex",,    2350,,,...,,...,  176080,,,...,,...
"Household and dwelling characteristics","    Apartment in a building that has fewer than five storeys",,   14225,,,...,,...,  522810,,,...,,...
"Household and dwelling characteristics","    Other single-attached house",,      75,,,...,,...,   10910,,,...,,...
"Household and dwelling characteristics","  Movable dwelling",7,      20,,,...,,...,   14890,,,...,,...
"Household and dwelling characteristics","Total - Private households by household size - 100% data",8,   50290,,,...,,..., 5169170,,,...,,...
"Household and dwelling characteristics","  1 person",,   20205,,,...,,..., 1341300,,,...,,...
"Household and dwelling characteristics","  2 persons",,   15310,,,...,,..., 1693525,,,...,,...
"Household and dwelling characteristics","  3 persons",,    6730,,,...,,...,  834260,,,...,,...
"Household and dwelling characteristics","  4 persons",,    5780,,,...,,...,  796320,,,...,,...
"Household and dwelling characteristics","  5 or more persons",,    2270,,,...,,...,  503775,,,...,,...
"Household and dwelling characteristics","Number of persons in private households",,  106310,,,...,,...,13242160,,,...,,...
"Household and dwelling characteristics","Average household size",,    2.1,,,...,,...,    2.6,,,...,,...
"Marital status","Total - Marital status for the population aged 15 years and over - 100% data",9,   92810,,   44095,,   48715,,11240525,, 5427775,, 5812750,
"Marital status","  Married or living common law",,   46525,,   23260,,   23265,, 6438085,, 3219290,, 3218795,
"Marital status","    Married",,   34970,,   17470,,   17495,, 5531930,, 2764275,, 2767655,
"Marital status","    Living common law",,   11555,,    5790,,    5770,,  906155,,  455015,,  451145,
"Marital status","  Not married and not living common law",,   46285,,   20840,,   25450,, 4802440,, 2208485,, 2593955,
"Marital status","    Never married",,   32560,,   16400,,   16165,, 3182785,, 1689180,, 1493605,
"Marital status","    Separated",,    2780,,    1225,,    1555,,  328675,,  138140,,  190535,
"Marital status","    Divorced",,    6670,,    2490,,    4175,,  653835,,  252900,,  400935,
"Marital status","    Widowed",,    4275,,     725,,    3550,,  637150,,  128265,,  508880,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   27420,,,...,,..., 3782540,,,...,,...
"Family characteristics","  2 persons",,   14300,,,...,,..., 1815000,,,...,,...
"Family characteristics","  3 persons",,    6105,,,...,,...,  844545,,,...,,...
"Family characteristics","  4 persons",,    5510,,,...,,...,  792435,,,...,,...
"Family characteristics","  5 or more persons",,    1500,,,...,,...,  330560,,,...,,...
"Family characteristics","Average size of census families",,    2.8,,,...,,...,    2.9,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   27420,,,...,,..., 3782545,,,...,,...
"Family characteristics","  Total couple families",,   22635,,,...,,..., 3137570,,,...,,...
"Family characteristics","    Married couples",,   16865,,,...,,..., 2684735,,,...,,...
"Family characteristics","    Common-law couples",,    5780,,,...,,...,  452840,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,    4785,,,...,,...,  644975,,,...,,...
"Family characteristics","    Female parent",,    4020,,,...,,...,  518480,,,...,,...
"Family characteristics","    Male parent",,     760,,,...,,...,  126495,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   22640,,,...,,..., 3137565,,,...,,...
"Family characteristics","  Couples without children",,   11150,,,...,,..., 1428575,,,...,,...
"Family characteristics","  Couples with children",,   11485,,,...,,..., 1708995,,,...,,...
"Family characteristics","    1 child",,    4855,,,...,,...,  658305,,,...,,...
"Family characteristics","    2 children",,    5215,,,...,,...,  738710,,,...,,...
"Family characteristics","    3 or more children",,    1415,,,...,,...,  311975,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,    4785,,,...,,...,  644975,,,...,,...
"Family characteristics","  1 child",,    3150,,,...,,...,  386425,,,...,,...
"Family characteristics","  2 children",,    1255,,,...,,...,  186240,,,...,,...
